Date : 2025-07-13 00:25:32
Directory : c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src
Total : 111 files,  9020 codes, 270 comments, 1477 blanks, all 10767 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\anotacao.css                             | PostCSS        |         43 |          0 |          6 |         49 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\anotacao.jsx                             | JavaScript JSX |         70 |          0 |         10 |         80 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\chatbot.css                              | PostCSS        |        136 |          1 |         27 |        164 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\chatbot.jsx                              | JavaScript JSX |        121 |          8 |         14 |        143 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\comentario.css                           | PostCSS        |        207 |          0 |         43 |        250 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\comentario.jsx                           | JavaScript JSX |        228 |          6 |         32 |        266 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\index.jsx                                | JavaScript JSX |         71 |          0 |         15 |         86 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\infobox.css                              | PostCSS        |        199 |          4 |         52 |        255 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\infobox.jsx                              | JavaScript JSX |        141 |          0 |         18 |        159 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\style.css                                | PostCSS        |        384 |          9 |         79 |        472 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\FrontOffice\Video\videoplayer.jsx                          | JavaScript JSX |        186 |          0 |         31 |        217 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\Logo.svg                                            | XML            |         21 |          0 |          1 |         22 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\Stats.svg                                           | XML            |          3 |          0 |          1 |          4 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\Videos.svg                                          | XML            |          3 |          0 |          1 |          4 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\admin.svg                                           | XML            |          3 |          0 |          1 |          4 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\criar.svg                                           | XML            |          3 |          0 |          1 |          4 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\home.svg                                            | XML            |          3 |          0 |          1 |          4 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\react.svg                                           | XML            |          1 |          0 |          0 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\search.svg                                          | XML            |          3 |          0 |          1 |          4 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\styles\BackOffice.css                               | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\styles\FrontOffice.css                              | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\styles\Global.css                                   | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\assets\user.svg                                            | XML            |          4 |          0 |          1 |          5 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\About\index.jsx                                 | JavaScript JSX |         30 |          0 |          2 |         32 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\About\style.css                                 | PostCSS        |         14 |          0 |          5 |         19 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Contact\index.jsx                               | JavaScript JSX |         28 |          0 |          3 |         31 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Contact\style.css                               | PostCSS        |         14 |          0 |          3 |         17 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Footer\index.jsx                                | JavaScript JSX |         40 |          1 |          5 |         46 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Footer\style.css                                | PostCSS        |          3 |          0 |          1 |          4 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Header\index.jsx                                | JavaScript JSX |        153 |          0 |         21 |        174 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Header\style.css                                | PostCSS        |        107 |         52 |         34 |        193 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\NotFound\index.jsx                              | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\NotFound\style.css                              | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\SidebarAdmin\index.jsx                          | JavaScript JSX |         48 |          1 |         12 |         61 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\SidebarAdmin\style.css                          | PostCSS        |         72 |          0 |         12 |         84 |
